CID,BDATE,GEN
NASAW00151873,2001-12-24,M
NASAW00151874,1951-04-24,F
NASAW00151875,2037-02-05,Male
NASAW00151876,1965-06-28,  
NASAW00151877,1959-06-26,M
NASAW00151878,1960-05-01,FEMALE
NASAW00151879,1970-01-14,FEMALE
NASAW00151880,1980-12-14,FEMALE
NASAW00151881,1951-01-26,F
NASAW00151882,2001-05-20,f 
NASAW00151883,1957-12-31,m
NASAW00151884,1952-03-16,M
NASAW00151885,1965-11-12,f 
NASAW00151886,1985-11-21,MALE
NASAW00151887,1985-12-02,Male
NASAW00151888,1986-09-08,Female
NASAW00151889,1994-05-15,M
NASAW00151890,1961-06-23,F
NASAW00151891,1991-02-22,m
NASAW00151892,1954-11-09,
NASAW00151893,1996-01-20,MALE
NASAW00151894,2004-09-23,Male
NASAW00151895,1986-09-30,FEMALE
NASAW00151896,1965-09-02,Female
NASAW00151897,1981-01-01,Female
NASAW00151898,1983-03-23,
NASAW00151899,1985-10-06,FEMALE
NASAW00151900,2001-04-04,MALE
NASAW00151901,2000-09-23,f 
NASAW00151902,1959-11-01,MALE
NASAW00151903,1988-08-12,f 
NASAW00151904,1974-04-18,F
NASAW00151905,1957-10-02,f 
NASAW00151906,1977-07-16,f 
NASAW00151907,1966-10-29,f 
NASAW00151908,1986-12-11,Male
NASAW00151909,1990-01-18,M
NASAW00151910,1975-01-20,f 
NASAW00151911,1998-01-29,Male
NASAW00151912,1957-07-19,FEMALE
NASAW00151913,1995-10-25,Male
NASAW00151914,1962-08-04,  
NASAW00151915,1980-05-02,
NASAW00151916,1974-10-09,f 
NASAW00151917,1968-07-12,FEMALE
NASAW00151918,1997-07-14,m
NASAW00151919,1957-04-23,FEMALE
NASAW00151920,1960-12-16,M
NASAW00151921,1977-09-15,Male
NASAW00151922,1979-11-07,Female
NASAW00151923,1967-01-28,Female
NASAW00151924,1977-08-18,Male
NASAW00151925,1994-01-18,FEMALE
NASAW00151926,2001-11-15,M
NASAW00151927,1979-04-30,FEMALE
NASAW00151928,1974-04-15,F
NASAW00151929,2042-02-20,
NASAW00151930,1976-03-02,FEMALE
NASAW00151931,1990-04-13,FEMALE
NASAW00151932,1975-03-23,F
NASAW00151933,1967-05-02,MALE
NASAW00151934,1973-12-13,F
AW00151935,1960-07-04,Male
NASAW00151936,2002-01-22,F
NASAW00151937,1993-05-04,M
NASAW00151938,1989-04-23,Male
NASAW00151939,2000-10-23,m
NASAW00151940,1985-11-02,Female
NASAW00151941,1985-11-11,m
NASAW00151942,1984-11-27,MALE
NASAW00151943,1953-01-07,F
NASAW00151944,1992-08-28,Male
NASAW00151945,1981-10-25,  
NASAW00151946,1956-05-21,
NASAW00151947,1957-12-16,
NASAW00151948,1954-04-24,f 
NASAW00151949,1997-10-19,F
NASAW00151950,1973-03-29,  
NASAW00151951,2037-04-14,MALE
NASAW00151952,1980-02-04,
NASAW00151953,1965-08-08,f 
NASAW00151954,1999-06-11,Female
NASAW00151955,1963-04-17,f 
NASAW00151956,1956-08-25,  
NASAW00151957,1950-12-17,f 
NASAW00151958,1976-01-27,MALE
NASAW00151959,2002-02-16,FEMALE
NASAW00151960,1993-03-05,f 
NASAW00151961,1957-02-18,Male
NASAW00151962,1987-01-17,
NASAW00151963,1954-10-15,
NASAW00151964,1974-09-28,Female
NASAW00151965,1994-09-19,Male
NASAW00151966,1999-09-09,f 
NASAW00151967,1991-06-05,Female
NASAW00151968,1997-09-24,Female
NASAW00151969,1974-09-20,m
NASAW00151970,1981-01-13,f 
NASAW00151971,1970-05-11,m
NASAW00151972,1952-01-20,f 
NASAW00151973,1954-11-23,M
NASAW00151974,1983-02-14,  
NASAW00151975,1964-04-26,  
NASAW00151976,2000-01-25,FEMALE
NASAW00151977,1960-12-25,F
NASAW00151978,1977-02-27,Male
NASAW00151979,2001-04-02,  
NASAW00151980,2001-12-09,MALE
NASAW00151981,1995-05-23,Female
NASAW00151982,1976-02-02,FEMALE
NASAW00151983,1958-10-03,F
NASAW00151984,1994-10-03,
AW00151985,1962-07-24,FEMALE
NASAW00151986,1985-03-09,Male
NASAW00151987,1951-07-31,M
NASAW00151988,1982-01-02,f 
NASAW00151989,1994-11-30,FEMALE
NASAW00151990,2040-10-15,  
NASAW00151991,1961-08-12,m
NASAW00151992,1987-01-21,M
NASAW00151993,1991-06-23,
NASAW00151994,1991-02-27,Male
NASAW00151995,1984-06-15,f 
NASAW00151996,1998-05-28,FEMALE
NASAW00151997,1970-05-23,F
NASAW00151998,1959-04-14,FEMALE
NASAW00151999,1971-04-15,  
NASAW00152000,2002-09-03,F
NASAW00152001,1982-01-18,F
NASAW00152002,1969-04-29,Female
AW00152003,1956-05-24,f 
NASAW00152004,1979-01-14,MALE
NASAW00152005,1988-06-10,M
NASAW00152006,2055-04-25,FEMALE
NASAW00152007,1966-01-20,Male
NASAW00152008,1979-10-29,  
NASAW00152009,1993-08-03,F
NASAW00152010,1971-05-27,m
NASAW00152011,1960-03-28,f 
NASAW00152012,1952-10-15,M
NASAW00152013,1985-10-15,f 
NASAW00152014,1978-12-03,M
NASAW00152015,2003-07-06,FEMALE
NASAW00152016,1976-10-29,MALE
NASAW00152017,1965-03-19,  
NASAW00152018,1952-12-08,Female
NASAW00152019,1990-09-15,F
NASAW00152020,1974-10-04,Female
NASAW00152021,1981-12-04,  
NASAW00152022,1975-02-09,Male
NASAW00152023,1959-04-16,
NASAW00152024,1997-06-30,f 
NASAW00152025,1976-08-01,Female
NASAW00152026,1993-05-25,
NASAW00152027,1983-01-24,F
NASAW00152028,1972-02-05,MALE
NASAW00152029,2001-07-27,MALE
AW00152030,2000-02-20,
NASAW00152031,1997-02-28,  
NASAW00152032,1958-08-12,m
NASAW00152033,1999-09-20,MALE
NASAW00152034,1977-02-03,Female
NASAW00152035,1988-06-20,m
NASAW00152036,1984-09-15,Male
NASAW00152037,1971-03-28,MALE
NASAW00152038,1968-10-01,M
NASAW00152039,1990-03-03,M
NASAW00152040,1982-06-16,F
NASAW00152041,1990-06-25,
NASAW00152042,1963-01-05,f 
NASAW00152043,1997-06-08,Female
NASAW00152044,2002-04-27,
NASAW00152045,1966-11-23,F
NASAW00152046,1968-05-19,M
NASAW00152047,1962-01-06,Female
NASAW00152048,1969-07-24,f 
NASAW00152049,1969-01-31,  
NASAW00152050,1960-12-18,m
NASAW00152051,1953-07-12,FEMALE
NASAW00152052,2003-01-24,Male
NASAW00152053,1959-09-20,m
NASAW00152054,1998-06-05,Female
NASAW00152055,1985-11-02,Female
NASAW00152056,1993-08-28,  
NASAW00152057,1953-11-11,Female
NASAW00152058,1953-05-09,MALE
NASAW00152059,1951-10-07,Female
NASAW00152060,2003-04-15,f 
NASAW00152061,1993-08-17,  
NASAW00152062,1982-01-24,
NASAW00152063,1964-02-02,FEMALE
NASAW00152064,2004-07-22,m
NASAW00152065,1978-01-23,F
NASAW00152066,1973-10-02,Female
NASAW00152067,1981-02-09,MALE
AW00152068,1986-11-07,F
NASAW00152069,1995-07-23,Female
NASAW00152070,1981-09-08,MALE
NASAW00152071,1951-03-30,FEMALE
NASAW00152072,1984-10-21,Female
NASAW00152073,2004-06-08,  
NASAW00152074,2000-03-12,  
NASAW00152075,1957-02-04,m
NASAW00152076,1964-05-26,MALE
NASAW00152077,1971-11-14,M
NASAW00152078,1972-07-24,  
NASAW00152079,1989-09-03,m
NASAW00152080,1970-02-26,M
NASAW00152081,1971-02-02,MALE
NASAW00152082,1950-03-18,f 
NASAW00152083,1963-11-14,Female
NASAW00152084,1978-01-11,F
NASAW00152085,1969-10-03,
NASAW00152086,1951-03-29,Female
NASAW00152087,1988-09-28,Female
NASAW00152088,1966-12-16,f 
NASAW00152089,1969-04-17,f 
NASAW00152090,1997-05-02,f 
AW00152091,1952-10-30,MALE
NASAW00152092,1983-12-25,MALE
AW00152093,1957-06-22,Male
NASAW00152094,1991-06-19,FEMALE
NASAW00152095,1957-08-27,Male
NASAW00152096,1988-10-25,Male
NASAW00152097,1992-09-04,  
AW00152098,1953-01-21,FEMALE
NASAW00152099,1951-02-11,
NASAW00152100,1984-08-20,  
NASAW00152101,1984-03-05,M
NASAW00152102,1999-12-26,F
NASAW00152103,1965-11-21,M
NASAW00152104,1989-07-05,
NASAW00152105,2002-04-11,MALE
NASAW00152106,1954-04-03,FEMALE
AW00152107,1976-03-16,FEMALE
NASAW00152108,1964-05-26,MALE
NASAW00152109,1973-07-06,  
NASAW00152110,1958-12-13,  
AW00152111,1957-10-27,MALE
NASAW00152112,1997-05-26,F
NASAW00152113,1974-03-29,m
NASAW00152114,1974-09-02,  
NASAW00152115,1965-06-10,
NASAW00152116,1955-11-30,
NASAW00152117,1998-03-18,F
NASAW00152118,1967-06-11,f 
NASAW00152119,1970-01-29,  
NASAW00152120,1966-11-27,  
NASAW00152121,1959-12-27,MALE
NASAW00152122,1970-06-10,FEMALE
NASAW00152123,2004-02-27,f 
NASAW00152124,2003-06-22,M
NASAW00152125,1952-08-14,  
NASAW00152126,1986-05-12,f 
NASAW00152127,1981-12-10,Female
NASAW00152128,1987-07-29,  
NASAW00152129,2002-10-24,m
NASAW00152130,1968-05-27,Male
AW00152131,1997-05-29,  
NASAW00152132,1973-09-04,FEMALE
AW00152133,2003-08-01,m
NASAW00152134,1981-05-11,MALE
NASAW00152135,1999-06-19,F
NASAW00152136,1951-09-29,Male
NASAW00152137,1960-10-20,Female
NASAW00152138,1969-10-13,  
NASAW00152139,1986-05-05,Female
NASAW00152140,1990-11-27,MALE
NASAW00152141,1966-04-08,  
NASAW00152142,1991-06-18,M
NASAW00152143,1999-04-07,Female
NASAW00152144,1950-07-12,m
NASAW00152145,1958-11-24,Female
NASAW00152146,2003-08-12,f 
NASAW00152147,1951-11-23,m
NASAW00152148,1964-07-28,M
NASAW00152149,1959-11-24,F
NASAW00152150,1976-04-20,f 
NASAW00152151,1962-11-30,MALE
NASAW00152152,1976-04-01,Male
NASAW00152153,1976-02-27,M
NASAW00152154,1986-05-04,f 
NASAW00152155,1997-04-26,  
NASAW00152156,1990-04-22,M
NASAW00152157,1996-03-03,m
NASAW00152158,1975-03-13,M
NASAW00152159,1972-06-29,MALE
NASAW00152160,1969-05-15,m
NASAW00152161,1983-04-11,Male
NASAW00152162,1958-12-09,M
NASAW00152163,1951-08-02,  
NASAW00152164,1978-02-14,M
NASAW00152165,1983-10-25,m
NASAW00152166,1973-10-22,  
NASAW00152167,1974-11-24,Male
NASAW00152168,1962-03-20,F
NASAW00152169,1979-10-18,Male
NASAW00152170,1977-09-21,FEMALE
NASAW00152171,1973-07-13,m
NASAW00152172,2041-07-25,M
NASAW00152173,1998-10-18,F
NASAW00152174,1999-07-28,Male
NASAW00152175,1970-01-16,Female
NASAW00152176,1967-08-05,MALE
NASAW00152177,1990-10-23,
NASAW00152178,1988-08-08,f 
NASAW00152179,1980-10-16,Male
NASAW00152180,1952-02-17,F
NASAW00152181,1989-11-29,MALE
NASAW00152182,1985-01-25,  
NASAW00152183,1964-10-25,MALE
NASAW00152184,1983-04-10,Male
NASAW00152185,2003-05-26,F
AW00152186,1983-10-21,FEMALE
AW00152187,1998-12-21,Male
NASAW00152188,1967-07-17,m
NASAW00152189,1955-02-21,FEMALE
NASAW00152190,2004-07-18,M
NASAW00152191,1979-08-31,
NASAW00152192,1969-06-06,  
NASAW00152193,1974-08-28,M
NASAW00152194,1972-01-06,M
NASAW00152195,1950-11-29,
NASAW00152196,1993-06-02,  
NASAW00152197,1965-03-05,Female
NASAW00152198,1990-12-24,F
NASAW00152199,1985-04-29,m
AW00152200,1993-11-26,F
NASAW00152201,2001-11-12,MALE
NASAW00152202,1954-03-11,MALE
NASAW00152203,1982-10-19,FEMALE
NASAW00152204,1981-02-13,Male
NASAW00152205,1963-10-01,f 
NASAW00152206,2004-02-11,m
NASAW00152207,1957-04-05,Female
NASAW00152208,1993-04-22,m
NASAW00152209,1957-02-13,
NASAW00152210,1954-10-18,F
NASAW00152211,1968-11-06,  
NASAW00152212,1968-02-20,M
NASAW00152213,1999-06-28,  
NASAW00152214,2001-01-23,
NASAW00152215,1981-04-10,M
NASAW00152216,1979-01-03,  
NASAW00152217,1977-09-12,Female
NASAW00152218,2004-06-15,m
NASAW00152219,1957-05-21,Female
NASAW00152220,1977-09-29,m
NASAW00152221,2001-02-06,F
NASAW00152222,1995-08-22,M
NASAW00152223,1969-06-06,m
NASAW00152224,1953-06-07,f 
NASAW00152225,1847-08-08,
NASAW00152226,1991-09-03,Male
NASAW00152227,1996-01-10,MALE
NASAW00152228,1991-08-22,f 
NASAW00152229,1972-08-16,  
NASAW00152230,1971-09-05,Female
NASAW00152231,1998-08-18,f 
NASAW00152232,1953-03-08,Female
NASAW00152233,1954-12-07,m
NASAW00152234,1974-02-10,Female
NASAW00152235,1997-06-14,m
NASAW00152236,1951-03-13,  
NASAW00152237,1987-01-02,MALE
NASAW00152238,1967-06-15,F
NASAW00152239,1965-10-28,  
NASAW00152240,1981-05-17,f 
NASAW00152241,1971-05-03,Female
NASAW00152242,1969-12-22,f 
NASAW00152243,1991-07-10,Male
AW00152244,2003-06-28,m
NASAW00152245,2030-05-06,m
NASAW00152246,1961-08-05,  
NASAW00152247,1983-12-08,
NASAW00152248,1958-12-14,MALE
NASAW00152249,1957-01-21,  
NASAW00152250,2004-08-01,f 
NASAW00152251,1993-07-17,
NASAW00152252,1967-07-08,F
NASAW00152253,1954-11-14,
NASAW00152254,1982-07-22,Male
NASAW00152255,1977-08-11,MALE
NASAW00152256,1972-12-23,Female
NASAW00152257,1950-09-29,
NASAW00152258,2049-06-15,MALE
NASAW00152259,1955-11-06,Male
NASAW00152260,1954-10-26,  
NASAW00152261,1977-01-09,M
NASAW00152262,1964-09-18,Male
NASAW00152263,1964-06-22,
NASAW00152264,1998-11-30,m
AW00152265,1950-06-02,FEMALE
NASAW00152266,1972-07-05,Male
NASAW00152267,1954-09-14,M
NASAW00152268,1961-07-14,  
NASAW00152269,1978-10-15,Female
NASAW00152270,1974-01-29,f 
NASAW00152271,2002-03-25,Female
NASAW00152272,1982-02-11,  
NASAW00152273,1959-09-23,
NASAW00152274,1976-10-09,FEMALE
NASAW00152275,1950-09-25,Male
NASAW00152276,1962-11-10,F
NASAW00152277,1961-07-05,Male
NASAW00152278,1982-01-10,Female
NASAW00152279,1977-06-19,Male
NASAW00152280,1967-09-28,M
NASAW00152281,1971-06-11,m
NASAW00152282,1991-06-01,MALE
NASAW00152283,1999-03-30,m
NASAW00152284,1970-08-17,
NASAW00152285,1989-11-25,F
AW00152286,1999-09-16,FEMALE
NASAW00152287,1953-04-12,Female
NASAW00152288,1976-06-18,Male
NASAW00152289,1958-01-27,Female
NASAW00152290,1974-03-15,f 
NASAW00152291,1961-01-22,MALE
NASAW00152292,1989-11-08,Male
NASAW00152293,2057-11-27,Male
NASAW00152294,1967-10-03,FEMALE
NASAW00152295,1972-01-20,
NASAW00152296,1978-05-31,
NASAW00152297,1985-04-02,Male
NASAW00152298,2000-06-27,FEMALE
NASAW00152299,1976-08-06,Male
NASAW00152300,1953-02-19,
NASAW00152301,1963-03-23,
NASAW00152302,2004-08-25,MALE
NASAW00152303,2002-09-20,FEMALE
NASAW00152304,1954-05-21,M
NASAW00152305,1986-02-11,Male
AW00152306,1986-08-21,m
NASAW00152307,2031-10-24,Female
NASAW00152308,1989-10-24,Female
NASAW00152309,1981-03-31,Female
NASAW00152310,1984-08-26,f 
NASAW00152311,1997-05-23,  
NASAW00152312,1982-12-14,  
NASAW00152313,1967-09-19,Female
NASAW00152314,1951-02-14,Male
NASAW00152315,1959-10-06,Female
NASAW00152316,1965-11-19,MALE
NASAW00152317,1975-08-16,m
NASAW00152318,1985-08-28,M
NASAW00152319,1971-12-05,M
NASAW00152320,1951-03-11,Male
NASAW00152321,1976-04-15,MALE
NASAW00152322,1997-01-14,m
NASAW00152323,2004-02-27,MALE
NASAW00152324,1993-08-25,  
NASAW00152325,1967-09-16,MALE
NASAW00152326,1953-04-15,MALE
NASAW00152327,1990-02-18,m
NASAW00152328,1961-03-16,FEMALE
NASAW00152329,1955-06-12,Male
NASAW00152330,1978-03-29,f 
NASAW00152331,1986-08-15,f 
AW00152332,1985-11-13,Female
NASAW00152333,1986-07-10,
NASAW00152334,1962-08-13,m
NASAW00152335,1968-03-20,M
NASAW00152336,1979-07-02,FEMALE
NASAW00152337,1964-11-12,F
NASAW00152338,1988-11-10,m
NASAW00152339,1997-06-29,f 
NASAW00152340,1979-03-19,f 
NASAW00152341,1972-11-29,MALE
NASAW00152342,2004-05-12,  
NASAW00152343,1969-07-15,m
NASAW00152344,1988-11-07,FEMALE
NASAW00152345,1954-05-09,Male
NASAW00152346,1964-09-16,Female
NASAW00152347,1998-10-01,Male
NASAW00152348,1996-12-02,FEMALE
NASAW00152349,1980-07-30,m
NASAW00152350,1968-03-11,M
NASAW00152351,1985-10-01,F
NASAW00152352,1997-04-22,FEMALE
NASAW00152353,2003-12-08,Female
NASAW00152354,1961-02-18,Male
NASAW00152355,1969-12-08,FEMALE
NASAW00152356,1991-07-07,m
NASAW00152357,1984-04-19,
NASAW00152358,1977-12-27,m
NASAW00152359,1982-05-28,f 
NASAW00152360,1987-09-02,  
NASAW00152361,1997-08-19,M
NASAW00152362,1985-04-02,  
NASAW00152363,1972-12-31,
NASAW00152364,1976-05-15,Male
NASAW00152365,1961-08-22,F
NASAW00152366,1955-03-26,Female
NASAW00152367,1977-09-09,FEMALE
NASAW00152368,1974-05-17,M
NASAW00152369,2000-05-15,m
NASAW00152370,1961-01-25,FEMALE
NASAW00152371,1977-08-04,Male
NASAW00152372,1995-12-21,Female
NASAW00152373,1988-09-08,m
NASAW00152374,1997-11-24,FEMALE
NASAW00152375,2000-03-14,
NASAW00152376,1988-04-20,f 
NASAW00152377,1970-08-24,m
NASAW00152378,1965-12-13,F
NASAW00152379,1981-12-17,FEMALE
NASAW00152380,1992-03-04,  
NASAW00152381,1954-12-14,M
NASAW00152382,1967-02-23,Male
NASAW00152383,1996-03-02,
NASAW00152384,1963-01-06,MALE
NASAW00152385,1997-12-18,
NASAW00152386,1961-02-26,F
NASAW00152387,1953-01-22,F
NASAW00152388,1992-06-01,m
NASAW00152389,1967-09-09,Female
NASAW00152390,1950-06-08,M
AW00152391,1987-02-15,m
NASAW00152392,1993-10-12,
NASAW00152393,1950-07-21,f 
AW00152394,1957-05-26,FEMALE
NASAW00152395,1966-06-10,MALE
NASAW00152396,1996-05-27,
NASAW00152397,1973-11-05,MALE
NASAW00152398,1988-09-01,Male
NASAW00152399,1973-11-01,f 
NASAW00152400,1955-02-05,FEMALE
NASAW00152401,1991-07-19,m
NASAW00152402,1961-08-28,f 
NASAW00152403,1965-08-26,FEMALE
NASAW00152404,2002-02-19,Male
NASAW00152405,1966-08-10,MALE
NASAW00152406,1966-09-21,Female
NASAW00152407,1961-01-12,Female
NASAW00152408,1955-11-07,m
NASAW00152409,1999-01-04,FEMALE
NASAW00152410,1982-06-19,F
NASAW00152411,1956-03-09,Male
NASAW00152412,1972-10-06,Female
NASAW00152413,1964-07-12,  
NASAW00152414,1972-04-28,Male
NASAW00152415,1994-12-12,Female
NASAW00152416,1961-10-14,
NASAW00152417,1990-10-15,f 
NASAW00152418,1954-05-05,Male
NASAW00152419,1969-07-13,f 
NASAW00152420,1985-05-27,  
NASAW00152421,1992-02-02,FEMALE
NASAW00152422,1992-07-29,Female
NASAW00152423,2004-08-20,  
NASAW00152424,1999-04-18,FEMALE
NASAW00152425,1974-08-15,m
NASAW00152426,2000-08-19,m
NASAW00152427,1984-01-12,Male
NASAW00152428,1950-06-10,Female
NASAW00152429,1986-10-02,MALE
NASAW00152430,1961-07-25,m
NASAW00152431,1957-06-12,  
NASAW00152432,1966-03-14,MALE
NASAW00152433,1950-09-05,Female
NASAW00152434,1950-06-11,MALE
NASAW00152435,2002-10-09,M
NASAW00152436,1988-08-11,
NASAW00152437,1986-07-10,  
NASAW00152438,1966-08-31,Female
NASAW00152439,1981-06-13,f 
NASAW00152440,1999-08-05,M
NASAW00152441,1952-01-12,FEMALE
NASAW00152442,1983-07-03,
NASAW00152443,1973-04-14,  
NASAW00152444,2004-05-08,Female
NASAW00152445,1992-04-22,MALE
NASAW00152446,1970-08-31,M
NASAW00152447,1965-08-21,M
NASAW00152448,1986-11-01,
NASAW00152449,1979-11-24,f 
NASAW00152450,1993-02-05,M
NASAW00152451,1958-09-21,Male
NASAW00152452,1997-11-13,f 
NASAW00152453,1957-06-13,MALE
NASAW00152454,1954-04-11,m
AW00152455,1979-01-24,M
NASAW00152456,1989-01-28,M
NASAW00152457,1985-09-12,  
NASAW00152458,1982-10-19,F
NASAW00152459,1982-03-15,  
NASAW00152460,1967-09-02,FEMALE
NASAW00152461,1985-09-20,Female
NASAW00152462,1981-02-24,M
NASAW00152463,1969-04-12,Male
NASAW00152464,2037-01-24,M
NASAW00152465,1951-06-05,FEMALE
NASAW00152466,1985-11-13,m
NASAW00152467,1971-09-05,
NASAW00152468,1956-07-02,FEMALE
NASAW00152469,1970-11-22,M
NASAW00152470,1968-02-09,MALE
NASAW00152471,1967-06-24,MALE
NASAW00152472,2002-09-28,Male
NASAW00152473,1997-02-24,f 
NASAW00152474,1993-10-19,M
AW00152475,1997-01-22,Female
NASAW00152476,1977-04-19,  
NASAW00152477,1961-11-03,F
NASAW00152478,1975-09-27,MALE
NASAW00152479,2001-01-11,m
NASAW00152480,1965-01-15,FEMALE
NASAW00152481,1974-08-18,  
NASAW00152482,1985-04-21,f 
NASAW00152483,1994-11-07,  
NASAW00152484,1955-03-29,f 
NASAW00152485,1985-09-04,Male
NASAW00152486,1959-05-28,Female
NASAW00152487,1975-05-10,Female
NASAW00152488,1991-04-10,F
NASAW00152489,1970-06-14,FEMALE
NASAW00152490,1958-02-09,  
NASAW00152491,2001-02-20,m
NASAW00152492,1978-07-21,MALE
NASAW00152493,1976-12-19,MALE
AW00152494,1992-02-07,M
NASAW00152495,1966-03-03,  
NASAW00152496,1992-10-05,  
NASAW00152497,1972-05-30,f 
NASAW00152498,1971-09-27,Male
NASAW00152499,1969-07-10,MALE
NASAW00152500,1956-01-04,  
NASAW00152501,1994-03-19,MALE
NASAW00152502,1958-09-21,  
NASAW00152503,1986-07-30,Male
NASAW00152504,1980-02-13,f 
NASAW00152505,2002-04-03,M
NASAW00152506,1986-08-01,MALE
NASAW00152507,1990-01-01,
NASAW00152508,1975-03-06,
NASAW00152509,1960-11-01,MALE
NASAW00152510,1959-03-22,Male
NASAW00152511,1987-12-04,Female
NASAW00152512,1986-09-14,Male
NASAW00152513,1963-03-03,  
AW00152514,1963-01-07,f 
NASAW00152515,1954-04-07,MALE
NASAW00152516,1971-09-11,Male
NASAW00152517,1974-04-08,FEMALE
NASAW00152518,1966-04-14,
AW00152519,1996-12-03,F
NASAW00152520,1997-03-14,FEMALE
NASAW00152521,1997-11-09,m
NASAW00152522,1972-05-03,Female
NASAW00152523,1964-08-12,
NASAW00152524,1989-05-07,MALE
AW00152525,1996-03-31,  
NASAW00152526,1995-04-17,MALE
NASAW00152527,1999-10-30,
NASAW00152528,1984-05-04,F
NASAW00152529,1971-04-09,FEMALE
NASAW00152530,1960-03-24,MALE
NASAW00152531,1966-11-22,m
NASAW00152532,1996-05-15,MALE
NASAW00152533,1961-05-20,MALE
NASAW00152534,2002-05-04,  
NASAW00152535,1957-01-24,  
NASAW00152536,1980-09-29,
NASAW00152537,1959-12-25,  
NASAW00152538,1967-09-11,M
NASAW00152539,1985-07-07,F
NASAW00152540,1995-03-01,FEMALE
NASAW00152541,2003-02-05,  
NASAW00152542,1995-12-26,M
NASAW00152543,1951-10-07,F
NASAW00152544,1954-12-29,MALE
NASAW00152545,1980-08-08,Male
NASAW00152546,1995-02-26,
NASAW00152547,1990-11-01,  
NASAW00152548,1978-07-07,F
NASAW00152549,1993-08-09,f 
NASAW00152550,1974-07-28,f 
NASAW00152551,1965-11-12,FEMALE
NASAW00152552,1971-05-13,Male
NASAW00152553,1984-11-08,  
NASAW00152554,1999-10-27,m
NASAW00152555,1950-06-21,f 
NASAW00152556,1959-08-12,F
NASAW00152557,1978-05-14,MALE
NASAW00152558,1953-03-14,
NASAW00152559,1965-08-15,MALE
NASAW00152560,1995-03-19,Female
AW00152561,1992-07-18,MALE
NASAW00152562,1950-12-05,f 
NASAW00152563,1967-10-07,MALE
NASAW00152564,1992-04-15,Male
NASAW00152565,1962-04-25,f 
NASAW00152566,1978-03-24,  
NASAW00152567,1989-02-18,
NASAW00152568,1953-07-19,m
NASAW00152569,1951-01-28,FEMALE
NASAW00152570,1987-04-10,f 
NASAW00152571,1988-12-21,Female
NASAW00152572,1993-12-29,Female
NASAW00152573,1962-04-03,f 
NASAW00152574,1997-04-13,Male
NASAW00152575,1951-12-07,F
NASAW00152576,1983-01-20,f 
NASAW00152577,1964-02-23,
AW00152578,1970-10-20,F
NASAW00152579,1997-01-20,f 
NASAW00152580,1999-02-23,f 
NASAW00152581,1975-12-02,FEMALE
NASAW00152582,1953-07-01,FEMALE
NASAW00152583,1960-03-20,f 
NASAW00152584,1959-09-26,F
NASAW00152585,1980-01-08,FEMALE
NASAW00152586,1976-05-28,M
NASAW00152587,1985-05-24,  
NASAW00152588,2001-06-01,Male
NASAW00152589,2003-12-17,  
NASAW00152590,1967-12-08,MALE
NASAW00152591,1971-04-16,Male
NASAW00152592,2000-01-08,
NASAW00152593,2002-04-12,f 
NASAW00152594,1985-12-02,f 
NASAW00152595,1976-05-13,f 
NASAW00152596,1995-07-11,m
NASAW00152597,2000-11-19,  
NASAW00152598,1986-03-22,m
NASAW00152599,1990-02-17,F
AW00152600,1992-02-10,M
NASAW00152601,1997-05-10,  
AW00152602,1975-09-04,FEMALE
NASAW00152603,1988-07-05,
NASAW00152604,1966-11-13,Female
NASAW00152605,1953-11-28,Male
NASAW00152606,1983-07-08,f 
NASAW00152607,1959-03-20,f 
NASAW00152608,1951-05-19,Female
NASAW00152609,1988-03-13,
NASAW00152610,1969-12-02,Male
NASAW00152611,1962-12-27,FEMALE
NASAW00152612,1981-02-28,M
NASAW00152613,1965-09-11,m
NASAW00152614,1964-11-07,Male
NASAW00152615,1981-06-26,f 
NASAW00152616,1965-10-26,f 
NASAW00152617,1965-05-18,Female
NASAW00152618,2003-09-21,  
NASAW00152619,1979-10-07,Female
NASAW00152620,2001-08-04,  
NASAW00152621,1995-01-08,Female
NASAW00152622,1986-02-11,m
NASAW00152623,1814-04-10,  
NASAW00152624,1987-10-07,F
NASAW00152625,1977-05-23,
NASAW00152626,1957-03-19,m
NASAW00152627,1977-12-18,  
AW00152628,1960-04-24,  
NASAW00152629,1977-01-30,FEMALE
NASAW00152630,1985-07-14,Female
AW00152631,1975-02-07,Female
NASAW00152632,1985-07-06,f 
AW00152633,1984-06-16,F
NASAW00152634,1951-10-14,F
NASAW00152635,1969-09-05,MALE
NASAW00152636,1994-05-06,MALE
NASAW00152637,2001-12-19,Male
NASAW00152638,1961-12-14,FEMALE
NASAW00152639,1977-08-15,m
NASAW00152640,1964-02-05,FEMALE
NASAW00152641,1967-09-19,M
AW00152642,1982-09-07,MALE
NASAW00152643,1954-04-27,FEMALE
NASAW00152644,1955-07-22,m
NASAW00152645,1832-04-18,MALE
NASAW00152646,1973-09-17,F
NASAW00152647,1999-03-04,m
NASAW00152648,2000-07-16,Female
NASAW00152649,2003-08-24,FEMALE
NASAW00152650,2001-12-20,Male
NASAW00152651,1960-08-08,F
NASAW00152652,1974-10-04,
NASAW00152653,1951-08-21,FEMALE
NASAW00152654,1951-02-20,MALE
NASAW00152655,1951-02-09,FEMALE
NASAW00152656,1978-05-13,Female
NASAW00152657,1995-10-15,FEMALE
AW00152658,1958-08-03,  
NASAW00152659,1985-09-11,F
